Id,plant_nr,plant_id,branch_nr,branch_id,n_flowers_with_fruits,n_flowers_without_fruits,comment
71,1,71_1,4,71_1_4,16,44,
71,1,71_1,5,71_1_5,13,65,
71,1,71_1,6,71_1_6,12,27,
71,1,71_1,7,71_1_7,10,46,
71,1,71_1,8,71_1_8,39,183,
71,2,71_2,1,71_2_1,20,54,
71,2,71_2,2,71_2_2,22,82,
71,2,71_2,3,71_2_3,15,42,
71,2,71_2,4,71_2_4,11,48,
71,2,71_2,5,71_2_5,21,72,
71,2,71_2,6,71_2_6,22,47,
71,2,71_2,7,71_2_7,25,47,
71,3,71_3,1,71_3_1,14,49,
71,3,71_3,2,71_3_2,32,99,
71,3,71_3,3,71_3_3,25,74,
71,3,71_3,4,71_3_4,14,31,
71,3,71_3,5,71_3_5,10,54,
71,3,71_3,6,71_3_6,22,50,
71,4,71_4,1,71_4_1,43,105,
71,4,71_4,2,71_4_2,23,60,
71,4,71_4,3,71_4_3,22,66,
71,4,71_4,4,71_4_4,18,40,
71,5,71_5,1,71_5_1,17,44,
71,5,71_5,2,71_5_2,26,89,
71,5,71_5,3,71_5_3,19,49,
71,5,71_5,4,71_5_4,27,87,
71,5,71_5,5,71_5_5,45,116,
71,6,71_6,1,71_6_1,17,53,
71,6,71_6,2,71_6_2,20,58,
71,6,71_6,3,71_6_3,10,34,
71,6,71_6,4,71_6_4,9,22,
71,6,71_6,5,71_6_5,16,68,
73,1,73_1,1,73_1_1,28,107,
73,1,73_1,2,73_1_2,27,114,
73,1,73_1,3,73_1_3,27,83,
73,1,73_1,4,73_1_4,41,173,
73,2,73_2,1,73_2_1,26,137,plant with thin fruits
73,2,73_2,2,73_2_2,31,98,plant with thin fruits
73,2,73_2,3,73_2_3,34,86,plant with thin fruits
73,2,73_2,4,73_2_4,25,135,plant with thin fruits
73,2,73_2,5,73_2_5,28,140,plant with thin fruits
73,3,73_3,1,73_3_1,32,77,
73,3,73_3,2,73_3_2,22,56,
73,3,73_3,3,73_3_3,32,157,
73,3,73_3,4,73_3_4,20,64,
73,4,73_4,1,73_4_1,8,70,
73,4,73_4,2,73_4_2,8,39,
73,4,73_4,3,73_4_3,13,60,
73,4,73_4,4,73_4_4,9,59,
73,4,73_4,5,73_4_5,22,138,
73,5,73_5,1,73_5_1,30,84,
73,5,73_5,2,73_5_2,24,104,
73,5,73_5,3,73_5_3,17,61,
73,5,73_5,4,73_5_4,11,61,
73,5,73_5,5,73_5_5,20,64,small pot (1.5L)
73,6,73_6,1,73_6_1,9,19,small pot (1.5L)
73,6,73_6,2,73_6_2,16,56,small pot (1.5L)
73,6,73_6,3,73_6_3,18,77,small pot (1.5L)
73,6,73_6,4,73_6_4,12,66,small pot (1.5L)
83,1,83_1,1,83_1_1,15,58,
83,1,83_1,2,83_1_2,10,57,
83,1,83_1,3,83_1_3,13,74,
83,1,83_1,4,83_1_4,24,86,
83,1,83_1,5,83_1_5,11,38,
83,2,83_2,1,83_2_1,7,21,
83,2,83_2,2,83_2_2,36,99,
83,2,83_2,3,83_2_3,18,44,
83,2,83_2,4,83_2_4,11,23,
83,2,83_2,5,83_2_5,16,27,
83,2,83_2,6,83_2_6,17,39,
83,3,83_3,1,83_3_1,7,25,small pot (1.5L)
83,3,83_3,2,83_3_2,14,63,small pot (1.5L)
83,3,83_3,3,83_3_3,14,89,small pot (1.5L)
83,3,83_3,4,83_3_4,10,41,small pot (1.5L)
83,4,83_4,1,83_4_1,11,34,
83,4,83_4,2,83_4_2,9,14,
83,4,83_4,3,83_4_3,12,32,
83,4,83_4,4,83_4_4,7,16,
83,4,83_4,5,83_4_5,10,20,
83,4,83_4,6,83_4_6,9,13,
83,5,83_5,1,83_5_1,13,28,
83,5,83_5,2,83_5_2,21,58,
83,5,83_5,3,83_5_3,11,22,
83,5,83_5,4,83_5_4,16,43,
83,5,83_5,5,83_5_5,22,29,
83,5,83_5,6,83_5_6,28,64,
83,6,83_6,1,83_6_1,12,27,
83,6,83_6,2,83_6_2,22,49,
83,6,83_6,3,83_6_3,14,41,
83,6,83_6,4,83_6_4,25,45,
83,6,83_6,5,83_6_5,21,45,
83,6,83_6,6,83_6_6,9,27,
83,6,83_6,7,83_6_7,29,80,
83,6,83_6,8,83_6_8,28,66,
84,1,84_1,1,84_1_1,21,59,
84,1,84_1,2,84_1_2,25,39,
84,1,84_1,3,84_1_3,22,48,
84,1,84_1,4,84_1_4,27,39,
84,1,84_1,5,84_1_5,34,100,
84,1,84_1,6,84_1_6,14,63,
84,2,84_2,1,84_2_1,28,58,
84,2,84_2,2,84_2_2,42,76,
84,2,84_2,3,84_2_3,45,58,
84,2,84_2,4,84_2_4,27,64,
84,2,84_2,5,84_2_5,17,58,
84,3,84_3,1,84_3_1,17,25,
84,3,84_3,2,84_3_2,26,39,
84,3,84_3,3,84_3_3,68,67,
84,3,84_3,4,84_3_4,12,28,
84,3,84_3,5,84_3_5,23,47,
84,3,84_3,6,84_3_6,25,48,
84,4,84_4,1,84_4_1,27,44,
84,4,84_4,2,84_4_2,60,110,
84,4,84_4,3,84_4_3,29,57,
84,4,84_4,4,84_4_4,25,59,
84,4,84_4,5,84_4_5,25,42,
84,4,84_4,6,84_4_6,25,60,
84,5,84_5,1,84_5_1,18,52,
84,5,84_5,2,84_5_2,23,54,
84,5,84_5,3,84_5_3,39,99,
84,5,84_5,4,84_5_4,26,56,
84,5,84_5,5,84_5_5,28,64,
84,5,84_5,6,84_5_6,21,40,
84,5,84_5,7,84_5_7,23,47,
84,6,84_6,1,84_6_1,22,57,small pot (1.5L)
84,6,84_6,2,84_6_2,21,47,small pot (1.5L)
84,6,84_6,3,84_6_3,11,32,small pot (1.5L)
84,6,84_6,4,84_6_4,20,30,small pot (1.5L)
84,6,84_6,5,84_6_5,11,19,small pot (1.5L)
85,1,85_1,1,85_1_1,29,75,
85,1,85_1,2,85_1_2,13,32,
85,1,85_1,3,85_1_3,30,54,
85,1,85_1,4,85_1_4,27,79,
85,1,85_1,5,85_1_5,43,110,
85,1,85_1,6,85_1_6,18,50,
85,1,85_1,7,85_1_7,14,30,
85,2,85_2,1,85_2_1,7,19,small pot (1.5L)
85,2,85_2,2,85_2_2,10,20,small pot (1.5L)
85,2,85_2,3,85_2_3,19,49,small pot (1.5L)
85,2,85_2,4,85_2_4,10,24,small pot (1.5L)
85,2,85_2,5,85_2_5,13,20,small pot (1.5L)
85,2,85_2,6,85_2_6,21,34,small pot (1.5L)
85,3,85_3,1,85_3_1,28,33,damaged
85,3,85_3,2,85_3_2,22,33,damaged
85,3,85_3,3,85_3_3,11,14,damaged
85,3,85_3,4,85_3_4,21,38,damaged
85,4,85_4,1,85_4_1,19,46,
85,4,85_4,2,85_4_2,13,64,
85,4,85_4,3,85_4_3,24,50,
85,4,85_4,4,85_4_4,15,34,
85,4,85_4,5,85_4_5,14,44,
85,4,85_4,6,85_4_6,13,19,
85,5,85_5,1,85_5_1,20,12,
85,5,85_5,2,85_5_2,15,18,
85,5,85_5,3,85_5_3,27,49,
85,5,85_5,4,85_5_4,11,14,
85,5,85_5,5,85_5_5,12,44,
85,5,85_5,6,85_5_6,13,34,
85,5,85_5,7,85_5_7,20,49,
85,5,85_5,8,85_5_8,26,39,
85,6,85_6,1,85_6_1,18,38,
85,6,85_6,2,85_6_2,19,37,
85,6,85_6,3,85_6_3,9,18,
85,6,85_6,4,85_6_4,12,13,
85,6,85_6,5,85_6_5,12,26,
85,6,85_6,6,85_6_6,21,33,
