Id,plant_nr,plant_id,branch_nr,branch_id,n_flowers_with_fruits,n_flowers_without_fruits,comment
17,1,17_1,5,17_1_5,18,57,
17,1,17_1,6,17_1_6,17,53,
17,2,17_2,1,17_2_1,24,79,
17,2,17_2,2,17_2_2,19,54,
17,2,17_2,3,17_2_3,32,62,
17,2,17_2,4,17_2_4,15,43,
17,2,17_2,5,17_2_5,32,79,
17,2,17_2,6,17_2_6,20,58,
17,3,17_3,1,17_3_1,26,69,
17,3,17_3,2,17_3_2,41,59,
17,3,17_3,3,17_3_3,24,47,
17,3,17_3,4,17_3_4,19,34,
17,3,17_3,5,17_3_5,24,39,
17,3,17_3,6,17_3_6,23,39,
17,4,17_4,1,17_4_1,19,33,
17,4,17_4,2,17_4_2,30,67,
17,4,17_4,3,17_4_3,15,29,
17,4,17_4,4,17_4_4,21,54,
17,5,17_5,1,17_5_1,12,31,
17,5,17_5,2,17_5_2,7,15,
17,5,17_5,3,17_5_3,10,24,
17,5,17_5,4,17_5_4,5,12,
17,5,17_5,5,17_5_5,8,24,
17,5,17_5,6,17_5_6,8,17,
17,6,17_6,1,17_6_1,28,45,
17,6,17_6,2,17_6_2,19,49,
17,6,17_6,3,17_6_3,19,47,
17,6,17_6,4,17_6_4,21,56,
17,6,17_6,5,17_6_5,32,66,
19,1,19_1,1,19_1_1,13,50,
19,1,19_1,2,19_1_2,15,34,
19,1,19_1,3,19_1_3,17,44,
19,1,19_1,4,19_1_4,13,36,
19,1,19_1,5,19_1_5,17,47,
19,2,19_2,1,19_2_1,5,34,small pot (1.5L)
19,2,19_2,2,19_2_2,4,31,small pot (1.5L)
19,2,19_2,3,19_2_3,7,20,small pot (1.5L)
19,2,19_2,4,19_2_4,4,20,small pot (1.5L)
19,2,19_2,5,19_2_5,3,25,small pot (1.5L)
19,2,19_2,6,19_2_6,3,22,small pot (1.5L)
19,3,19_3,1,19_3_1,15,48,
19,3,19_3,2,19_3_2,7,33,
19,3,19_3,3,19_3_3,12,48,
19,3,19_3,4,19_3_4,13,63,
19,3,19_3,5,19_3_5,16,55,
19,3,19_3,6,19_3_6,20,106,
19,4,19_4,1,19_4_1,4,20,
19,4,19_4,2,19_4_2,16,59,
19,4,19_4,3,19_4_3,11,58,
19,4,19_4,4,19_4_4,5,34,
19,4,19_4,5,19_4_5,11,53,
19,5,19_5,1,19_5_1,6,24,
19,5,19_5,2,19_5_2,18,80,
19,5,19_5,3,19_5_3,23,100,
19,5,19_5,4,19_5_4,11,44,
19,6,19_6,1,19_6_1,13,39,
19,6,19_6,2,19_6_2,8,55,
19,6,19_6,3,19_6_3,10,29,
19,6,19_6,4,19_6_4,32,49,
19,6,19_6,5,19_6_5,16,48,
25,1,25_1,1,25_1_1,20,44,
25,1,25_1,2,25_1_2,22,64,
25,1,25_1,3,25_1_3,33,44,
25,1,25_1,4,25_1_4,24,35,
25,1,25_1,5,25_1_5,26,60,
25,2,25_2,1,25_2_1,8,10,small pot (1.5L)
25,2,25_2,2,25_2_2,11,56,small pot (1.5L)
25,2,25_2,3,25_2_3,22,63,small pot (1.5L)
25,2,25_2,4,25_2_4,21,50,small pot (1.5L)
25,2,25_2,5,25_2_5,8,39,small pot (1.5L)
25,3,25_3,1,25_3_1,20,15,
25,3,25_3,2,25_3_2,22,60,
25,3,25_3,3,25_3_3,11,18,
25,3,25_3,4,25_3_4,16,23,
25,3,25_3,5,25_3_5,18,40,
25,4,25_4,1,25_4_1,28,47,
25,4,25_4,2,25_4_2,34,61,
25,4,25_4,3,25_4_3,27,45,
25,4,25_4,4,25_4_4,21,57,
25,4,25_4,5,25_4_5,71,103,
25,4,25_4,6,25_4_6,45,75,
25,5,25_5,1,25_5_1,26,79,
25,5,25_5,2,25_5_2,19,53,
25,5,25_5,3,25_5_3,41,89,
25,5,25_5,4,25_5_4,32,63,
25,5,25_5,5,25_5_5,72,135,
25,6,25_6,1,25_6_1,23,67,
25,6,25_6,2,25_6_2,19,50,
25,6,25_6,3,25_6_3,22,48,
25,6,25_6,4,25_6_4,26,57,
25,6,25_6,5,25_6_5,20,56,
27,1,27_1,1,27_1_1,15,60,
27,1,27_1,2,27_1_2,10,56,
27,1,27_1,3,27_1_3,19,36,
27,1,27_1,4,27_1_4,19,74,
27,1,27_1,5,27_1_5,28,116,
27,1,27_1,6,27_1_6,10,25,
27,1,27_1,7,27_1_7,26,106,
27,1,27_1,8,27_1_8,27,107,
27,2,27_2,1,27_2_1,8,46,
27,2,27_2,2,27_2_2,8,31,
27,2,27_2,3,27_2_3,30,137,
27,2,27_2,4,27_2_4,17,108,
27,2,27_2,5,27_2_5,26,103,
27,3,27_3,1,27_3_1,28,62,
27,3,27_3,2,27_3_2,19,172,
27,3,27_3,3,27_3_3,12,30,
27,3,27_3,4,27_3_4,29,106,
27,3,27_3,5,27_3_5,26,61,
27,3,27_3,6,27_3_6,40,120,
27,4,27_4,1,27_4_1,17,44,
27,4,27_4,2,27_4_2,26,43,
27,4,27_4,3,27_4_3,14,46,
27,4,27_4,4,27_4_4,18,49,
27,4,27_4,5,27_4_5,12,61,
27,4,27_4,6,27_4_6,36,37,
27,4,27_4,7,27_4_7,38,137,
27,5,27_5,1,27_5_1,21,56,
27,5,27_5,2,27_5_2,29,106,
27,5,27_5,3,27_5_3,23,93,
27,5,27_5,4,27_5_4,15,59,
27,5,27_5,5,27_5_5,14,66,
27,5,27_5,6,27_5_6,13,46,
27,5,27_5,7,27_5_7,23,94,
27,6,27_6,1,27_6_1,37,60,
27,6,27_6,2,27_6_2,25,109,
27,6,27_6,3,27_6_3,30,118,
27,6,27_6,4,27_6_4,36,136,
27,6,27_6,5,27_6_5,31,93,
28,1,28_1,1,28_1_1,18,55,
28,1,28_1,2,28_1_2,24,70,
28,1,28_1,3,28_1_3,27,67,
28,1,28_1,4,28_1_4,26,107,
28,1,28_1,5,28_1_5,30,92,
28,1,28_1,6,28_1_6,20,88,
28,2,28_2,1,28_2_1,16,34,
28,2,28_2,2,28_2_2,14,35,
28,2,28_2,3,28_2_3,17,50,
28,2,28_2,4,28_2_4,29,45,
28,2,28_2,5,28_2_5,27,61,
28,2,28_2,6,28_2_6,27,57,
28,3,28_3,1,28_3_1,14,47,small pot (1.5L)
28,3,28_3,2,28_3_2,7,15,small pot (1.5L)
28,3,28_3,3,28_3_3,12,40,small pot (1.5L)
28,3,28_3,4,28_3_4,17,116,small pot (1.5L)
28,4,28_4,1,28_4_1,26,99,
28,4,28_4,2,28_4_2,26,92,
28,4,28_4,3,28_4_3,19,120,
28,4,28_4,4,28_4_4,29,76,
28,5,28_5,1,28_5_1,27,54,
28,5,28_5,2,28_5_2,10,37,
28,5,28_5,3,28_5_3,28,64,
28,5,28_5,4,28_5_4,25,54,
28,5,28_5,5,28_5_5,17,53,
28,5,28_5,6,28_5_6,26,53,
28,6,28_6,1,28_6_1,21,73,
28,6,28_6,2,28_6_2,13,53,
28,6,28_6,3,28_6_3,23,136,
28,6,28_6,4,28_6_4,21,87,
30,1,30_1,1,30_1_1,8,21,
30,1,30_1,2,30_1_2,5,27,
30,1,30_1,3,30_1_3,17,55,
30,1,30_1,4,30_1_4,18,45,
30,1,30_1,5,30_1_5,19,57,
30,1,30_1,6,30_1_6,14,54,
30,2,30_2,1,30_2_1,16,19,
30,2,30_2,2,30_2_2,10,10,
30,2,30_2,3,30_2_3,14,23,
30,2,30_2,4,30_2_4,10,27,
30,2,30_2,5,30_2_5,29,37,
30,3,30_3,1,30_3_1,27,49,
30,3,30_3,2,30_3_2,16,56,
30,3,30_3,3,30_3_3,22,43,
30,3,30_3,4,30_3_4,30,55,
30,3,30_3,5,30_3_5,26,57,
30,4,30_4,1,30_4_1,21,24,
30,4,30_4,2,30_4_2,23,25,
30,4,30_4,3,30_4_3,22,39,
30,5,30_5,1,30_5_1,13,41,
30,5,30_5,2,30_5_2,14,49,
30,5,30_5,3,30_5_3,20,86,
30,5,30_5,4,30_5_4,10,59,
30,5,30_5,5,30_5_5,24,55,
30,6,30_6,1,30_6_1,10,17,small pot (1.5L)
30,6,30_6,2,30_6_2,12,14,small pot (1.5L)
30,6,30_6,3,30_6_3,9,10,small pot (1.5L)
30,6,30_6,4,30_6_4,10,13,small pot (1.5L)
30,6,30_6,5,30_6_5,8,14,small pot (1.5L)
30,6,30_6,6,30_6_6,8,8,small pot (1.5L)
39,1,39_1,1,39_1_1,20,27,
39,1,39_1,2,39_1_2,19,30,
39,1,39_1,3,39_1_3,27,36,
39,1,39_1,4,39_1_4,30,57,
39,1,39_1,5,39_1_5,31,84,
39,1,39_1,6,39_1_6,24,63,
39,2,39_2,1,39_2_1,19,36,
39,2,39_2,2,39_2_2,22,54,
39,2,39_2,3,39_2_3,14,32,
39,2,39_2,4,39_2_4,15,50,
39,2,39_2,5,39_2_5,20,57,
39,2,39_2,6,39_2_6,19,47,
39,2,39_2,7,39_2_7,17,57,
39,3,39_3,1,39_3_1,18,31,
39,3,39_3,2,39_3_2,35,65,
39,3,39_3,3,39_3_3,23,33,
39,3,39_3,4,39_3_4,16,44,
39,3,39_3,5,39_3_5,17,20,
39,4,39_4,1,39_4_1,12,53,small pot (1.5L)
39,4,39_4,2,39_4_2,13,81,small pot (1.5L)
39,4,39_4,3,39_4_3,19,119,small pot (1.5L)
39,4,39_4,4,39_4_4,16,80,small pot (1.5L)
39,5,39_5,1,39_5_1,38,71,
39,5,39_5,2,39_5_2,24,38,
39,5,39_5,3,39_5_3,50,87,
39,5,39_5,4,39_5_4,29,57,
39,5,39_5,5,39_5_5,24,47,
39,5,39_5,6,39_5_6,33,61,
39,5,39_5,7,39_5_7,27,48,
39,6,39_6,1,39_6_1,26,53,
39,6,39_6,2,39_6_2,29,46,
39,6,39_6,3,39_6_3,23,30,
39,6,39_6,4,39_6_4,26,49,
39,6,39_6,5,39_6_5,24,44,
39,6,39_6,6,39_6_6,35,67,
40,1,40_1,1,40_1_1,13,35,
40,1,40_1,2,40_1_2,9,32,
40,1,40_1,3,40_1_3,15,74,
40,1,40_1,4,40_1_4,5,54,
40,1,40_1,5,40_1_5,18,78,
40,1,40_1,6,40_1_6,19,72,
40,2,40_2,1,40_2_1,11,19,
40,2,40_2,2,40_2_2,22,59,
40,2,40_2,3,40_2_3,18,43,
40,2,40_2,4,40_2_4,24,69,
40,2,40_2,5,40_2_5,11,40,
40,2,40_2,6,40_2_6,14,63,
40,3,40_3,1,40_3_1,5,18,
40,3,40_3,2,40_3_2,18,57,
40,3,40_3,3,40_3_3,15,37,
40,3,40_3,4,40_3_4,16,54,
40,3,40_3,5,40_3_5,32,112,
40,4,40_4,1,40_4_1,19,69,
40,4,40_4,2,40_4_2,12,47,
40,4,40_4,3,40_4_3,15,49,
40,4,40_4,4,40_4_4,15,53,
40,4,40_4,5,40_4_5,33,96,
40,4,40_4,6,40_4_6,17,62,
40,5,40_5,1,40_5_1,21,65,
40,5,40_5,2,40_5_2,21,63,
40,5,40_5,3,40_5_3,20,65,
40,5,40_5,4,40_5_4,14,68,
40,5,40_5,5,40_5_5,18,50,
40,5,40_5,6,40_5_6,26,94,
40,6,40_6,1,40_6_1,8,39,small pot (1.5L)
40,6,40_6,2,40_6_2,22,60,small pot (1.5L)
40,6,40_6,3,40_6_3,15,44,small pot (1.5L)
40,6,40_6,4,40_6_4,25,69,small pot (1.5L)
41,1,41_1,1,41_1_1,15,54,
41,1,41_1,2,41_1_2,13,66,
41,1,41_1,3,41_1_3,16,49,
41,1,41_1,4,41_1_4,14,53,
41,1,41_1,5,41_1_5,20,64,
41,2,41_2,1,41_2_1,19,23,
41,2,41_2,2,41_2_2,41,110,
41,2,41_2,3,41_2_3,19,45,
41,2,41_2,4,41_2_4,25,45,
41,2,41_2,5,41_2_5,15,27,
41,2,41_2,6,41_2_6,14,26,
41,3,41_3,1,41_3_1,16,34,
41,3,41_3,2,41_3_2,40,69,
41,3,41_3,3,41_3_3,28,45,
41,3,41_3,4,41_3_4,23,78,
41,3,41_3,5,41_3_5,34,59,
41,3,41_3,6,41_3_6,35,52,
41,4,41_4,1,41_4_1,12,23,
41,4,41_4,2,41_4_2,26,88,
41,4,41_4,3,41_4_3,13,43,
41,4,41_4,4,41_4_4,14,27,
41,4,41_4,5,41_4_5,32,66,
41,4,41_4,6,41_4_6,37,80,
41,5,41_5,1,41_5_1,17,38,
41,5,41_5,2,41_5_2,30,33,
41,5,41_5,3,41_5_3,14,29,
41,5,41_5,4,41_5_4,30,54,
41,5,41_5,5,41_5_5,41,64,
41,5,41_5,6,41_5_6,38,44,
41,6,41_6,1,41_6_1,7,34,small pot (1.5L)
41,6,41_6,2,41_6_2,15,58,small pot (1.5L)
41,6,41_6,3,41_6_3,18,55,small pot (1.5L)
41,6,41_6,4,41_6_4,14,64,small pot (1.5L)
41,6,41_6,5,41_6_5,22,77,small pot (1.5L)
47,1,47_1,1,47_1_1,12,74,
47,1,47_1,2,47_1_2,13,33,
47,1,47_1,3,47_1_3,11,64,
47,1,47_1,4,47_1_4,15,64,
47,2,47_2,1,47_2_1,31,54,
47,2,47_2,2,47_2_2,40,88,
47,2,47_2,3,47_2_3,29,89,
